nitrogen,phosphorus,potassium,temperature,humidity,ph_value,rainfall,nitrogen_std,nitrogen_minmax,phosphorus_std,phosphorus_minmax,potassium_std,potassium_minmax,temperature_std,temperature_minmax,humidity_std,humidity_minmax,ph_value_std,ph_value_minmax,rainfall_std,rainfall_minmax,crop
6,140,205,17.66558428,82.92903419,6.313085601,69.8671263,-1.204547246238155,0.04285714285714286,2.6191852877617294,0.9642857142857143,3.0558986421839296,0.9999999999999999,-1.5798894693111065,0.2559707638726073,0.5176556075421573,0.8011921241831209,-0.1866942689116833,0.43623627779680374,-0.6067526168822398,0.17839433798504345,12
38,120,197,17.5438296,82.94703302,6.323722572,73.77063744,-0.33769518712335556,0.2714285714285714,2.013289180012679,0.8214285714285714,2.8997210994562934,0.96,-1.603991362505803,0.25244520308250296,0.518475543669737,0.8014021185332932,-0.1729492960391935,0.4378919182915988,-0.5363320373872489,0.19241814709932326,12
95,13,46,29.84070774,93.76312893,6.126019932,23.28207838,1.206385043174881,0.6785714285714286,-1.2282549964447431,0.05714285714285715,-0.048130019527834876,0.20500000000000002,0.8302316468969823,0.6085168662914598,1.0112024484724678,0.9275947117196984,-0.4284183974985798,0.40711957748970407,-1.44716166214202,0.011032238536890074,14
16,139,203,17.82803682,80.96093443,6.27564088,65.84748763,-0.9336559777647802,0.11428571428571428,2.588890482374277,0.9571428571428571,3.0168542565020204,0.9900000000000001,-1.5477312494522306,0.2606747826854927,0.42799888563834804,0.7782300855297541,-0.23507991124942548,0.4304080211997049,-0.6792681738640687,0.1639533274704796,12
92,7,45,26.70607759,81.14149505,6.944640222,51.51033554,1.1251176626328685,0.6571428571428571,-1.4100238287694584,0.014285714285714284,-0.06765221236878938,0.2,0.20971733828745556,0.5177496847069929,0.43622431893351804,0.7803367063525299,0.629393424957216,0.5345375146058998,-0.9379149465451424,0.11244547288996035,13
25,48,21,28.438097,83.48991368,6.267684328,52.55469976,-0.6898538361387428,0.17857142857142858,-0.16793680788390425,0.30714285714285716,-0.5361848405516972,0.07999999999999999,0.5525784655226511,0.5679024978850615,0.5432064548510767,0.8077359675344664,-0.2453612771945388,0.4291695869038755,-0.9190742846542085,0.11619747049974904,6
7,79,23,19.6365349,19.68751084,5.821649914,96.65888933,-1.1774581193908176,0.049999999999999996,0.7712021591271245,0.5285714285714286,-0.4971404548697882,0.09,-1.189730821321066,0.3130421325058599,-2.363309975098942,0.06334624199039332,-0.8217218708848595,0.3597444998287541,-0.1234207111700223,0.2746468032893277,3
21,63,17,25.08966129,68.17543102,6.559681838,41.45486619,-0.7982103435280927,0.15,0.2864852729278839,0.4142857142857143,-0.6142736119155151,0.060000000000000005,-0.1102596270395927,0.470944305827385,-0.15444431512225462,0.6290601961420474,0.1319545821590758,0.47461888839537136,-1.1193188040786752,0.07632005204156725,8
31,58,15,28.31886863,60.19461399,6.167855382,45.36521251,-0.527319075054718,0.22142857142857142,0.13501124599062117,0.37857142857142856,-0.6533179975974241,0.049999999999999996,0.5289766668934923,0.5644500895970184,-0.518010180819985,0.5359471167886372,-0.3743591051155898,0.4136312493874623,-1.0487749157677777,0.0903684173198091,8
5,19,25,27.3511056,54.43945147,6.441328044,96.27792547,-1.2316363730854925,0.03571428571428571,-1.046486164120028,0.09999999999999999,-0.4580960691878792,0.1,0.33740356935970167,0.5364272867554315,-0.7801864261780281,0.4688009959839441,-0.020980843526132466,0.45619716532599186,-0.13029342007891712,0.27327814715886795,11
99,39,18,19.20129357,68.30578978,6.11275104,87.85092352,1.3147415505642308,0.7071428571428571,-0.44059005637097715,0.24285714285714288,-0.5947514190745606,0.065,-1.2758888240325632,0.30043916917598346,-0.14850582596099138,0.6305811062842878,-0.44556430873477615,0.4050542794912174,-0.28231920902656127,0.24300318123358478,1
116,23,25,23.4123707,52.26994674,6.869720196,139.3670753,1.7752567069689682,0.8285714285714285,-0.9253069425702177,0.12857142857142856,-0.4580960691878792,0.1,-0.44228693520260337,0.4223762348693335,-0.8790181450775867,0.44348914315951105,0.5325826199849918,0.5228762410237219,0.647048514437782,0.4280808338786296,21
34,65,19,23.43974653,63.22011726,5.94239222,45.40277297,-0.4460516945127055,0.24285714285714285,0.34707488370278894,0.42857142857142855,-0.5752292262336062,0.07,-0.4368677650255213,0.4231689366598894,-0.38018347568515193,0.571245999723122,-0.6657000371756366,0.378537993883455,-1.04809731315197,0.09050335755755737,8
37,23,28,25.61294367,94.3138837,5.740054567,224.3206759,-0.36478431397069305,0.2642857142857143,-0.9253069425702177,0.12857142857142856,-0.39952949066501575,0.11500000000000002,-0.0066734976733424396,0.48609660913991837,1.0362920644841518,0.9340204288374457,-0.9271584496850055,0.34704421506911276,2.1796384238489277,0.7332863362216205,18
92,75,45,29.01207743,77.95192527,5.674403359,90.43495443,1.1251176626328685,0.6571428571428571,0.6500229375773143,0.5,-0.06765221236878938,0.2,0.6662005046894889,0.5845228273729728,0.290923569159404,0.7431236412099528,-1.0119921935211176,0.33682562948708894,-0.23570247153335944,0.2522866070847119,10
12,31,26,35.7877738,51.94190321,5.395275719,100.2160615,-1.0420124851541301,0.08571428571428572,-0.6829484994705974,0.18571428571428572,-0.43857387634692474,0.10500000000000001,2.007480447517394,0.780721687636281,-0.8939621576420484,0.43966182283310296,-1.3726777533258785,0.2933795183713821,-0.059248196582333934,0.28742635014075757,11
43,61,20,26.87187036,61.61367264,6.804253866,63.51822045,-0.20224955288666815,0.3071428571428571,0.2258956621529788,0.4,-0.5557070333926517,0.07500000000000001,0.24253677188124267,0.522550424105222,-0.4533650092011211,0.5525034317859493,0.44798777339648,0.5126864316321563,-0.7212888928351084,0.15558516938486525,7
112,73,48,29.2440638,77.32017166,5.707488987,90.66727868,1.6669001995796182,0.7999999999999999,0.5894333268024092,0.48571428571428577,-0.009085633845925895,0.215,0.7121232627499199,0.5912402862001046,0.2621440535704696,0.7357529016229392,-0.9692393215494569,0.3419753949149087,-0.23151126835013028,0.2531212584582489,10
36,128,204,25.23542319,80.68700527,5.695792761,67.03840888,-0.39187344081803055,0.2571428571428571,2.255647623112299,0.8785714285714286,3.036376449342975,0.995,-0.08140539535292592,0.4751650260438982,0.415520051476271,0.7750341235729252,-0.9843530516781281,0.3401548817818115,-0.6577835766514425,0.16823184793094367,12
81,18,50,26.44019475,80.91934337,6.507110986,47.81847573,0.8271372673121562,0.5785714285714285,-1.0767809695074806,0.09285714285714285,0.02995875183598309,0.225,0.157084619676701,0.5100507107089046,0.42610420622428036,0.7777448380099058,0.0640231254855862,0.4664362552550655,-1.0045172688929316,0.0991820453255853,13
22,37,20,27.62749466,86.49366929,6.605733068,39.26137642,-0.7711212166807553,0.15714285714285714,-0.5011796671458822,0.2285714285714286,-0.5557070333926517,0.07500000000000001,0.3921160420490672,0.5444304816449402,0.6800424460270407,0.8427811181024881,0.19146145748051546,0.4817867448484082,-1.1588900554930452,0.06843968979195283,6
23,55,16,21.01142393,69.69141302,5.111488821,185.2039114,-0.7440320898334178,0.16428571428571428,0.04412682982826354,0.35714285714285715,-0.6337958047564697,0.055,-0.9175652786444373,0.35285378372873266,-0.0853838033801161,0.6467473266367985,-1.739383953293701,0.2492081955181894,1.4739595810676354,0.5927548970014331,4
24,18,6,26.56608303,94.45239715,6.285312759,116.3796525,-0.7169429629860803,0.17142857142857143,-1.0767809695074806,0.09285714285714285,-0.8290177331660146,0.0049999999999999975,0.18200477780962893,0.5136959651163875,1.042602040288725,0.9356364806543064,-0.22258201927613733,0.4319134454913719,0.23234811353861495,0.34549589488023796,16
5,32,33,32.32362177,52.5896771,5.842763773,93.36718816,-1.2316363730854925,0.03571428571428571,-0.6526536940831449,0.19285714285714284,-0.30191852646024325,0.14,1.3217357826121148,0.680412783141373,-0.8644528387077892,0.44721947280752383,-0.7944387825706614,0.3630308639602151,-0.1828040446874819,0.26282099129245684,11
108,33,31,23.69287069,66.76090123,7.393825704,144.6576424,1.5585436921902682,0.7714285714285714,-0.6223588886956923,0.2,-0.34096291214215224,0.13,-0.3867606852047117,0.4304984669376912,-0.21888317466801463,0.6125567198577361,1.2098257928565077,0.6044530642180209,0.7424920235445938,0.4470877997756677,21
61,44,17,26.10018422,71.57476937,6.931756558,102.2662445,0.28535473036540654,0.4357142857142857,-0.2891160294337144,0.2785714285714286,-0.6142736119155151,0.060000000000000005,0.08977798736382378,0.5002052756686205,0.0004124351793170836,0.6687206545065014,0.6127453009585445,0.5325321771992514,-0.02226224476799403,0.29479186646956235,1
95,88,52,28.00316034,78.90085998,6.235461772,94.68180316,1.206385043174881,0.6785714285714286,1.0438554076141975,0.5928571428571429,0.06900313751789207,0.23500000000000001,0.4664807736246658,0.5553083566604704,0.33415225966000245,0.75419496794521,-0.2869988973499636,0.42415415830494474,-0.15908797297856203,0.26754389566177006,10
